source,dataset,origin_country,destination_country,year,period,reason,sub_reason,measure_type,value,analysis_question
oecd,oecd_migration_database,Cameroon,Germany,2016,pre_covid,other,asylum,asylum_inflow,1351.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Germany,2017,pre_covid,other,asylum,asylum_inflow,1100.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Germany,2018,pre_covid,other,asylum,asylum_inflow,920.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Germany,2019,pre_covid,other,asylum,asylum_inflow,815.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Germany,2020,covid,other,asylum,asylum_inflow,475.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Germany,2021,covid,other,asylum,asylum_inflow,385.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Greece,2015,pre_covid,other,asylum,asylum_inflow,155.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Greece,2016,pre_covid,other,asylum,asylum_inflow,211.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Greece,2017,pre_covid,other,asylum,asylum_inflow,455.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Greece,2018,pre_covid,other,asylum,asylum_inflow,1035.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Greece,2019,pre_covid,other,asylum,asylum_inflow,855.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Greece,2020,covid,other,asylum,asylum_inflow,395.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Greece,2021,covid,other,asylum,asylum_inflow,190.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Hungary,2015,pre_covid,other,asylum,asylum_inflow,628.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Hungary,2016,pre_covid,other,asylum,asylum_inflow,9.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Hungary,2017,pre_covid,other,asylum,asylum_inflow,10.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Hungary,2018,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Hungary,2019,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Hungary,2020,covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Hungary,2021,covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Iceland,2015,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Iceland,2016,pre_covid,other,asylum,asylum_inflow,1.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Iceland,2018,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Iceland,2019,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Iceland,2020,covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Iceland,2021,covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Ireland,2015,pre_covid,other,asylum,asylum_inflow,0.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Ireland,2016,pre_covid,other,asylum,asylum_inflow,4.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Ireland,2017,pre_covid,other,asylum,asylum_inflow,20.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Ireland,2018,pre_covid,other,asylum,asylum_inflow,25.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Ireland,2019,pre_covid,other,asylum,asylum_inflow,30.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Ireland,2020,covid,other,asylum,asylum_inflow,10.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Ireland,2021,covid,other,asylum,asylum_inflow,5.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Italy,2015,pre_covid,other,asylum,asylum_inflow,332.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Italy,2016,pre_covid,other,asylum,asylum_inflow,1989.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Italy,2017,pre_covid,other,asylum,asylum_inflow,1995.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Italy,2018,pre_covid,other,asylum,asylum_inflow,495.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Italy,2019,pre_covid,other,asylum,asylum_inflow,175.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Italy,2020,covid,other,asylum,asylum_inflow,185.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Italy,2021,covid,other,asylum,asylum_inflow,335.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Japan,2015,pre_covid,other,asylum,asylum_inflow,51.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Japan,2016,pre_covid,other,asylum,asylum_inflow,66.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Japan,2017,pre_covid,other,asylum,asylum_inflow,98.0,Q2_entry_reasons
oecd,oecd_migration_database,Cameroon,Japan,2018,pre_covid,other,asylum,asylum_inflow,203.0,Q2_entry_reasons
