destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question,total_migrants,male_migrants,female_migrants,destination_code,origin_code
Guinea,Cameroon,2024,181.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,181.0,132.0,49.0,324,120
Mali,Cameroon,2024,2339.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,2339.0,1195.0,1144.0,466,120
Mauritania,Cameroon,2024,460.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,460.0,301.0,159.0,478,120
Niger,Cameroon,2024,685.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,685.0,294.0,391.0,562,120
Nigeria,Cameroon,2024,56288.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,56288.0,30703.0,25585.0,566,120
Senegal,Cameroon,2024,1076.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,1076.0,428.0,648.0,686,120
Togo,Cameroon,2024,707.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,707.0,455.0,252.0,768,120
China,Cameroon,2024,2133.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,2133.0,999.0,1134.0,156,120
Japan,Cameroon,2024,1290.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,1290.0,808.0,482.0,392,120
India,Cameroon,2024,236.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,236.0,130.0,106.0,356,120
Cyprus,Cameroon,2024,2001.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,2001.0,1108.0,893.0,196,120
Bulgaria,Cameroon,2024,33.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,33.0,25.0,8.0,100,120
Hungary,Cameroon,2024,380.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,380.0,280.0,100.0,348,120
Slovakia,Cameroon,2024,16.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,16.0,13.0,3.0,703,120
Denmark,Cameroon,2024,1048.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,1048.0,581.0,467.0,208,120
Estonia,Cameroon,2024,82.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,82.0,59.0,23.0,233,120
Finland,Cameroon,2024,1288.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,1288.0,796.0,492.0,246,120
Iceland,Cameroon,2024,8.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,8.0,5.0,3.0,352,120
Latvia,Cameroon,2024,4.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,4.0,4.0,,428,120
Lithuania,Cameroon,2024,32.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,32.0,24.0,8.0,440,120
Norway,Cameroon,2024,905.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,905.0,499.0,406.0,578,120
Greece,Cameroon,2024,1641.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,1641.0,832.0,809.0,300,120
Italy,Cameroon,2024,16244.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,16244.0,8781.0,7463.0,380,120
Portugal,Cameroon,2024,92.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,92.0,62.0,30.0,620,120
Slovenia,Cameroon,2024,24.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,24.0,21.0,3.0,705,120
Belgium,Cameroon,2024,30634.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,30634.0,14651.0,15983.0,56,120
France,Cameroon,2024,127995.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,127995.0,53081.0,74914.0,250,120
Liechtenstein,Cameroon,2024,3.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,3.0,2.0,1.0,438,120
Luxembourg,Cameroon,2024,1425.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,1425.0,691.0,734.0,442,120
Dominican Republic,Cameroon,2024,25.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,25.0,13.0,12.0,214,120
Costa Rica,Cameroon,2024,13.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,13.0,7.0,6.0,188,120
Mexico,Cameroon,2024,680.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,680.0,425.0,255.0,484,120
Bolivia (Plurinational State of),Cameroon,2024,15.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,15.0,14.0,1.0,68,120
Brazil,Cameroon,2024,723.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,723.0,532.0,191.0,76,120
Chile,Cameroon,2024,281.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,281.0,49.0,232.0,152,120
Canada,Cameroon,2024,43662.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,43662.0,20745.0,22917.0,124,120
Australia,Cameroon,2024,695.0,undesa,undesa_destinations,stock,post_covid,Q1_destinations,695.0,397.0,298.0,36,120
