destination_country,destination_code,origin_country,origin_code,year,total_migrants,male_migrants,female_migrants,source,dataset,measure_type,period
Gabon,266,Cameroon,120,2024,54949.0,31924.0,23025.0,UN DESA,international_migrant_stock,stock,post_covid
Egypt,818,Cameroon,120,2024,327.0,260.0,67.0,UN DESA,international_migrant_stock,stock,post_covid
Tunisia,788,Cameroon,120,2024,797.0,417.0,380.0,UN DESA,international_migrant_stock,stock,post_covid
Namibia,516,Cameroon,120,2024,129.0,107.0,22.0,UN DESA,international_migrant_stock,stock,post_covid
South Africa,710,Cameroon,120,2024,4916.0,3402.0,1514.0,UN DESA,international_migrant_stock,stock,post_covid
Ghana,288,Cameroon,120,2024,147.0,99.0,48.0,UN DESA,international_migrant_stock,stock,post_covid
Guinea,324,Cameroon,120,2024,181.0,132.0,49.0,UN DESA,international_migrant_stock,stock,post_covid
Mali,466,Cameroon,120,2024,2339.0,1195.0,1144.0,UN DESA,international_migrant_stock,stock,post_covid
Mauritania,478,Cameroon,120,2024,460.0,301.0,159.0,UN DESA,international_migrant_stock,stock,post_covid
Niger,562,Cameroon,120,2024,685.0,294.0,391.0,UN DESA,international_migrant_stock,stock,post_covid
Nigeria,566,Cameroon,120,2024,56288.0,30703.0,25585.0,UN DESA,international_migrant_stock,stock,post_covid
Senegal,686,Cameroon,120,2024,1076.0,428.0,648.0,UN DESA,international_migrant_stock,stock,post_covid
Togo,768,Cameroon,120,2024,707.0,455.0,252.0,UN DESA,international_migrant_stock,stock,post_covid
China,156,Cameroon,120,2024,2133.0,999.0,1134.0,UN DESA,international_migrant_stock,stock,post_covid
Japan,392,Cameroon,120,2024,1290.0,808.0,482.0,UN DESA,international_migrant_stock,stock,post_covid
India,356,Cameroon,120,2024,236.0,130.0,106.0,UN DESA,international_migrant_stock,stock,post_covid
Cyprus,196,Cameroon,120,2024,2001.0,1108.0,893.0,UN DESA,international_migrant_stock,stock,post_covid
Bulgaria,100,Cameroon,120,2024,33.0,25.0,8.0,UN DESA,international_migrant_stock,stock,post_covid
Hungary,348,Cameroon,120,2024,380.0,280.0,100.0,UN DESA,international_migrant_stock,stock,post_covid
Slovakia,703,Cameroon,120,2024,16.0,13.0,3.0,UN DESA,international_migrant_stock,stock,post_covid
Denmark*,208,Cameroon,120,2024,1048.0,581.0,467.0,UN DESA,international_migrant_stock,stock,post_covid
Estonia,233,Cameroon,120,2024,82.0,59.0,23.0,UN DESA,international_migrant_stock,stock,post_covid
Finland*,246,Cameroon,120,2024,1288.0,796.0,492.0,UN DESA,international_migrant_stock,stock,post_covid
Iceland,352,Cameroon,120,2024,8.0,5.0,3.0,UN DESA,international_migrant_stock,stock,post_covid
Latvia,428,Cameroon,120,2024,4.0,4.0,,UN DESA,international_migrant_stock,stock,post_covid
Lithuania,440,Cameroon,120,2024,32.0,24.0,8.0,UN DESA,international_migrant_stock,stock,post_covid
Norway*,578,Cameroon,120,2024,905.0,499.0,406.0,UN DESA,international_migrant_stock,stock,post_covid
